species,bio1,bio5,bio6,bio12,bio16,bio17,clade
Acridotheres_burmannicus,236.886919,341.3462148,107.6659161,1535.59162,863.5340357,18.76161818,Passeriformes
Acridotheres_cinereus,245.9914322,307.1379493,179.5492167,2042.368192,927.4117401,171.713837,Passeriformes
Acridotheres_cristatellus,175.6498617,298.4369862,39.04791394,1415.354526,699.9749207,94.3777695,Passeriformes
Acridotheres_fuscus,248.9530599,360.106395,121.1951216,1671.039277,1059.683225,42.40878102,Passeriformes
Acridotheres_ginginianus,254.9482714,397.561521,91.92935988,925.9908214,679.4262793,17.83074703,Passeriformes
Acridotheres_grandis,249.0800839,336.400229,143.0090074,1774.595936,981.8329903,40.3076984,Passeriformes
Acridotheres_javanicus,248.6383035,309.2202169,186.5393958,2517.120564,1046.162525,239.8408036,Passeriformes
Acridotheres_leucocephalus,260.8888661,334.4128798,180.8979346,1749.531939,903.6149779,43.4165773,Passeriformes
Acridotheres_melanopterus,245.1463752,304.1144053,185.9794968,2518.308171,1042.444347,227.8295965,Passeriformes
Acridotheres_tertius,237.6851375,294.4690804,177.4856275,2038.305985,955.0243241,199.8663843,Passeriformes
Acridotheres_tricolor,234.3524595,303.5217243,158.6592947,2194.987409,976.6318014,174.6600648,Passeriformes
Acridotheres_tristis,200.5894702,334.8334798,56.67536444,1064.771638,606.9580478,48.98627611,Passeriformes
Acris_crepitans,143.8186289,323.2422402,-42.41727331,989.1666683,323.201021,168.0129855,Anura
Acris_gryllus,181.5702732,326.8525454,23.40086154,1345.784721,445.8027428,239.018112,Anura
Acritillas_indica,259.7251932,334.670827,189.6275493,2089.953626,1296.035358,78.18479613,Passeriformes
Acrobates_pygmaeus,183.2210506,307.1540146,54.77919809,836.7727398,366.3204024,102.6171574,Diprotodontia
Acrobatornis_fonsecai,233.4517195,293.3146026,168.0233111,1109.02761,371.7150622,198.3851483,Passeriformes
Acrocephalus_agricola,92.29556197,306.0392344,-119.8168136,437.9784947,242.0232829,28.80353502,Passeriformes
Acrocephalus_arundinaceus,196.7608666,335.8993415,55.85315805,634.3113581,308.3491701,38.78515222,Passeriformes
Acrocephalus_australis,215.080603,330.9694637,97.45150871,1115.528608,425.9239085,161.4887587,Passeriformes
Acrocephalus_bistrigiceps,114.2905071,288.2241712,-83.00393087,1095.691267,586.7497135,55.59775099,Passeriformes
Acrocephalus_brevipennis,220.6008862,273.1957384,164.1615898,348.4627766,296.8488489,0.123073423,Passeriformes
Acrocephalus_caffer,232.9247671,279.2673927,187.17478,2123.62453,938.0112633,247.6229952,Passeriformes
Acrocephalus_concinens,167.5747972,305.7727965,13.76445975,1252.729709,648.2048353,68.59202619,Passeriformes
Acrocephalus_dumetorum,55.8420766,259.0352236,-143.6392358,712.7213357,360.2504868,58.80298116,Passeriformes
Acrocephalus_familiaris,235,294,181,1050,351,162,Passeriformes
Acrocephalus_gracilirostris,210.4953099,311.698631,95.44081295,846.8167119,463.6534186,27.1929146,Passeriformes
Acrocephalus_griseldis,236.9209907,342.6784552,134.6441241,670.4575655,320.6160624,40.11986548,Passeriformes
Acrocephalus_hiwae,263.9171012,299.8021938,226.6536495,1969.010568,872.772862,259.7653656,Passeriformes
Acrocephalus_kerearako,244.828598,292.6207733,199.4916763,1834.090027,680.7149658,262.4787216,Passeriformes
Acrocephalus_longirostris,252.0405502,298.4290975,206.4291026,1859.276713,869.5896606,189.4247487,Passeriformes
Acrocephalus_melanopogon,135.7135844,326.5783581,-39.30911515,410.2205828,186.368952,38.37881949,Passeriformes
Acrocephalus_newtoni,228.8569433,313.3676882,127.7928478,1385.713187,823.4279814,65.11819073,Passeriformes
Acrocephalus_orientalis,129.0557287,287.7819765,-45.68048576,1329.885613,606.6287986,127.8331454,Passeriformes
Acrocephalus_orinus,149.9704912,290.8198524,-4.960920122,1375.232929,834.6590318,49.59976677,Passeriformes
Acrocephalus_paludicola,114.655497,288.7808428,-45.35436453,510.1747612,193.4855799,76.03028343,Passeriformes
Acrocephalus_palustris,107.2540201,264.5543805,-43.74546432,683.3276017,298.3359444,79.49496374,Passeriformes
Acrocephalus_rodericanus,239.8099416,290.8283946,184.1496201,1080.9446,450.2984314,133.1863327,Passeriformes
Acrocephalus_rufescens,242.6702192,328.5025498,158.1093744,1345.305159,626.1819389,58.09579324,Passeriformes
Acrocephalus_schoenobaenus,179.2514572,324.2888209,34.5883224,635.5961192,301.6037737,44.04245037,Passeriformes
Acrocephalus_sorghophilus,10.34026341,261.0263643,-286.6947761,658.2694107,404.0953235,21.33004114,Passeriformes
Acrocephalus_stentoreus,198.6483257,352.9670386,38.60364672,758.986009,467.9658512,23.51610279,Passeriformes
Acrocephalus_syrinx,267.5754588,305.5557181,228.2741699,4771.917246,1368.100095,928.0276466,Passeriformes
Acrocephalus_tangorum,54.51596376,272.542453,-194.2546541,840.3399043,470.3956689,25.13381975,Passeriformes
Acrochordus_arafurae,265.3935945,357.9359641,153.1593327,1190.232188,709.3186389,52.88876505,Serpentes
Acrochordus_javanicus,256.2954669,316.9142266,194.335127,2458.508544,886.8406945,350.8650822,Serpentes
Acropternis_orthonyx,137.4303336,196.1018101,80.61937178,1550.429115,537.6335831,228.3453318,Passeriformes
Actinodura_egertoni,176.0857362,263.7253173,43.75656467,2184.646077,1311.498715,46.45158469,Passeriformes
Actinodura_radcliffei,207.2068608,300.7397091,85.749716,1545.980157,863.6478848,59.66152785,Passeriformes
Actinodura_ramsayi,236.2077319,345.4701778,109.3133847,1186.911405,591.809082,24.59134718,Passeriformes
Actinodura_sodangorum,205.0195208,280.7287484,110.8296734,2983.593993,1788.94005,61.79969794,Passeriformes
Acutotyphlops_banaorum,201.8438568,260.5021362,136.5532532,3413.427979,1310.828979,258.7333984,Serpentes
Acutotyphlops_infralabialis,250.0849334,293.6338748,205.6427359,3019.327627,1113.821425,550.6571456,Serpentes
Acutotyphlops_kunuaensis,258.5282402,300.0538264,220.8663174,3394.68426,1022.331188,721.7777302,Serpentes
Acutotyphlops_subocularis,248.2210981,294.2624079,206.3487316,3506.907509,1245.401386,627.1192046,Serpentes
Adelastes_hylonomos,266.4577637,323.2670517,212.4580173,3129.057373,1018.204338,658.5969772,Anura
Adelophis_copei,196.8857334,321.3083649,71.87141609,894.1885357,597.5799561,23.20895484,Serpentes
Adelophis_foxi,161.8803947,265.3646375,50.0950305,1152.553805,698.2962036,44.53096571,Serpentes
Adelophryne_adiastola,260.2695718,314.6969853,205.6987951,2905.212505,914.5475858,548.3513045,Anura
Adelophryne_baturitensis,254.5028889,313.8768242,198.5235944,777.6450718,507.6843828,8.215913967,Anura
Adelophryne_gutturosa,254.7096023,321.3302566,203.3217284,2149.442954,939.0983785,182.2230664,Anura
Adelophryne_maranguapensis,256.2954636,299.3862,207.473587,1344.630066,794.4446106,42.57034492,Anura
Adelophryne_pachydactyla,230.3322506,282.489235,179.5690367,1421.188407,417.2695088,266.9760649,Anura
Adelotus_brevis,185.1570976,305.1462368,46.97198818,857.5068716,346.9408594,116.2374301,Anura
Adelphicos_daryi,173.5065994,243.2042282,107.2815887,1648.835962,832.7817505,32.07143574,Serpentes
Adelphicos_ibarrorum,182.5266113,255.1651789,107.2392057,1180.58313,600.8788757,28.05987263,Serpentes
Adelphicos_latifasciatum,211.2768496,289.8842549,127.8373572,1369.932797,735.3976481,59.55358589,Serpentes
Adelphicos_nigrilatum,152.6654559,236.4148008,62.74883862,1272.982979,582.1565741,80.68162501,Serpentes
Adelphicos_quadrivirgatum,230.0888202,319.7652727,135.5886528,1508.83782,655.7879832,117.246413,Serpentes
Adelphicos_veraepacis,184.9485756,259.7968396,105.7282461,2626.993362,1050.767849,247.6193271,Serpentes
Adelphobates_castaneoticus,253.317122,323.0862873,185.6215451,1967.397063,885.5410941,121.1313642,Anura
Adelphobates_galactonotus,259.3038738,326.9758446,195.1016203,2006.974754,956.4607652,106.7678395,Anura
Adelphobates_quinquevittatus,256.7320972,323.661109,186.5649613,2286.256964,878.0719072,217.2862023,Anura
Adenomera_ajurauna,172.321799,246.1489334,87.79524231,2667.333995,972.3427175,328.9791501,Anura
Adenomera_andreae,259.3560734,326.4005389,194.7500318,2293.69142,916.9361671,240.8827503,Anura
Adenomera_araucaria,154.0996381,247.477085,69.38612087,1735.699161,488.2116985,378.774713,Anura
Adenomera_bokermanni,193.462805,275.2409197,94.95800531,1534.864594,704.2670075,129.3389766,Anura
Adenomera_coca,238.5250206,319.217926,130.0796375,3267.46875,1415.478333,339.3321152,Anura
Adenomera_diptyx,235.3907125,331.4135583,129.9552602,1305.339435,515.1464513,143.0886838,Anura
Adenomera_heyeri,257.7096983,324.7884445,207.9807199,2429.722555,994.0752392,228.0388887,Anura
Adenomera_hylaedactyla,255.4404817,326.4711152,183.5046045,1964.869085,829.5381797,173.9204994,Anura
Adenomera_lutzi,227.2449547,285.3963023,174.9941578,2453.593808,1019.233131,349.4583742,Anura
Adenomera_marmorata,195.2523858,277.9136136,96.5054293,1480.95658,677.7052765,126.2920218,Anura
Adenomera_martinezi,255.8860785,338.7618534,167.5271631,1787.750115,857.1629635,29.14495673,Anura
Adenomera_nana,186.8806676,279.6943244,95.2411513,1582.346917,537.4382374,285.4957777,Anura
Adenomera_thomei,234.2876338,309.1314336,160.7728977,1166.832625,509.5337721,139.9860294,Anura
Adenomus_dasi,202.6798248,273.8087463,147.1316681,3029.720825,1079.524658,323.5247803,Anura
Adenomus_kelaartii,228.4174008,289.893828,175.2425181,2788.831782,963.7796889,410.6623237,Anura
Adolfus_alleni,114.3481141,198.6137508,44.2913586,1499.062633,562.3793739,179.8773727,Lacertoidea
Aegithalos_annamensis,228.7242508,305.5845613,142.9569006,2147.836813,1160.567992,52.35510782,Passeriformes
Aegithalos_bonvaloti,81.91928454,192.3654112,-69.0943072,958.1677484,558.8131656,26.26038236,Passeriformes
Aegithalos_caudatus,24.57911782,236.5881077,-183.4613945,598.5497161,251.6667503,75.22126201,Passeriformes
Aegithalos_concinnus,168.0672132,295.6516754,23.98548364,1363.196048,687.6257806,82.23213894,Passeriformes
Aegithalos_fuliginosus,99.19763348,240.6488004,-56.5932578,931.9375607,487.9701712,27.55527567,Passeriformes
Aegithalos_glaucogularis,111.0105273,274.801381,-73.38222689,783.2181418,420.4845769,41.13289144,Passeriformes
Aegithalos_iouschistos,95.6021523,204.741344,-54.30804012,1200.793352,737.3288122,23.15913354,Passeriformes
Aegithalos_iredalei,134.7504814,252.6603628,-6.663131608,1483.760808,887.9522063,67.76856159,Passeriformes
Aegithalos_leucogenys,130.6544071,306.8306094,-52.69802044,583.8144119,280.2196287,49.68868759,Passeriformes
Aegithalos_niveogularis,96.9964861,232.8074514,-45.82958058,1060.297352,560.7027954,87.10821779,Passeriformes
Aegithina_lafresnayei,250.2874648,333.2458363,154.8398977,1852.004165,982.4835816,73.32733737,Passeriformes
Aegithina_nigrolutea,255.313602,404.5444691,97.45011895,883.9627049,717.4370175,15.19363436,Passeriformes
Aegithina_tiphia,250.6985884,344.9288136,146.4714589,1793.423218,921.4691961,131.5684285,Passeriformes
Aegithina_viridissima,256.8156042,307.4093921,209.8393227,2809.64219,935.6001837,462.670843,Passeriformes
Aeluroglena_cucullata,237.2205442,327.4392289,131.0564108,247.2308963,121.1329305,6.181725325,Serpentes
Aeluroscalabotes_felinus,246.6589108,291.6964468,203.9421566,3137.88855,956.5225901,592.4689796,Gekkota
Aepyceros_melampus,218.4969238,315.4772923,104.8299494,851.60508,503.865803,16.06959253,Cetartiodactyla
Aepyprymnus_rufescens,206.6217367,320.1007623,69.77783935,824.2535717,392.493716,81.71545487,Diprotodontia
Aethalops_aequalis,232.6873449,275.2481904,191.9848451,3502.45115,1010.928322,706.5451021,Chiroptera
